t,Final_PVFP
78,3.3939324185571305e-14
79,5.5460766724815275e-14
80,3.092702681708841e-14
81,6.244982438256301e-15
82,9.835446530204186e-15
83,2.789473650446019e-15
84,-7.463778860171406e-16
85,-7.510350462756354e-16
86,2.7969924130698436e-15
87,-4.2909826028239695e-15
88,-5.405574847062852e-14
89,-1.1023339402291116e-15
90,7.705048878073092e-14
91,7.042583192955804e-14
92,5.3101698293442025e-14
93,4.6327608618245404e-14
94,7.503838756929038e-14
95,1.0037559895669476e-13
96,6.902748761146579e-14
97,1.2628193684367827e-14
98,-1.5712265567636002e-14
99,-7.265677761820256e-14
100,-9.175407294684876e-15
101,-1.6339869499091426e-14
102,-7.684113325105062e-14
103,-9.865181348887767e-14
104,-9.573382854847105e-14
105,-1.0345521024149882e-13
106,-1.3254255360963337e-13
107,-9.076277224480848e-14
108,-1.8016458462431148e-13
109,-1.8132376898654057e-13
110,-9.011985592704623e-14
111,-5.87252666843855e-14
112,-1.2917828994044302e-14
113,-1.0181878466476038e-13
114,-8.47103213970549e-14
115,-9.591349119195312e-14
116,-1.569267340218462e-13
117,-1.9701625582041277e-13
118,-2.4091642848812745e-13
119,-2.9220448354622154e-13
120,-2.8342639495523444e-13
121,-2.2840655005353815e-13
122,-2.618505477831091e-13
123,-3.0616786623747254e-13
124,-3.1879590054396144e-13
125,-3.2795247032460796e-13
126,-3.47826094787329e-13
127,-2.7900974477822553e-13
128,-2.630413334831105e-13
129,-1.7591590737290377e-13
130,-1.237570504357621e-13
131,-4.639360609097998e-14
132,-1.1164967161475973e-14
133,-1.123680289637011e-14
134,-2.9072669218548034e-14
135,8.087440039513719e-14
136,6.007846664960496e-14
137,-2.124740129942016e-14
138,-3.204224875554146e-14
139,-1.3882981991284186e-13
140,-1.6814476458473145e-13
141,-2.2251731824491656e-13
142,-2.4526528344330456e-13
143,-2.2907975926791483e-13
144,-1.9147381486983143e-13
145,-2.4954918202078916e-13
146,-1.658896606806256e-13
147,-1.7406242710998401e-13
148,-1.6452420897062843e-13
149,-3.325603055885935e-13
150,-3.4180543596574347e-13
151,-2.765030625353004e-13
152,-3.564417924987717e-13
153,-3.907095728333769e-13
154,-3.612489868800489e-13
155,-4.0975855156324987e-13
156,-4.017368093854377e-13
157,-4.611650149741283e-13
158,-2.1544220705011698e-13
159,-2.7367178755805103e-13
160,-2.68327172721857e-13
161,-3.37555157727691e-13
162,-2.082765916606794e-13
163,-1.492205169830246e-13
164,-2.0347131146433117e-13
165,-2.2254402040281705e-13
166,-1.920014522216855e-13
